1,7,3702,5
2,8,1949,5
3,7,3374,5
4,8,4566,5
5,7,2373,5
6,8,3379,5
7,7,4726,5
8,8,2562,5
9,7,4145,5
10,8,546,5
11,7,3761,5
12,8,3649,5
13,7,698,5
14,8,1656,5
15,7,459,5
16,8,646,5
17,7,584,5
18,8,2274,5
19,7,930,5
20,8,3681,5
21,9,1192,5
22,10,3887,5
23,9,4976,5
24,10,736,5
25,9,1947,5
26,10,3088,5
27,9,3932,5
28,10,2208,5
29,9,3787,5
30,10,2171,5
31,9,1667,5
32,10,273,5
33,9,4001,5
34,10,1550,5
35,9,1308,5
36,10,2176,5
37,9,3987,5
38,10,1584,5
39,9,3847,5
40,10,250,5
41,11,708,5
42,12,3591,5
43,11,700,5
44,12,3198,5
45,11,1731,5
46,12,4969,5
47,11,2325,5
48,12,256,5
49,11,1952,5
50,12,3200,5
51,11,1191,5
52,12,2984,5
53,11,2493,5
54,12,1606,5
55,11,4912,5
56,12,1279,5
57,11,1013,5
58,12,650,5
59,11,3404,5
60,12,1314,5
61,13,1441,5
62,14,550,5
63,13,4148,5
64,14,4596,5
65,13,612,5
66,14,4859,5
67,13,4007,5
68,14,3195,5
69,13,2372,5
70,14,1790,5
71,13,73,5
72,14,2663,5
73,13,1054,5
74,14,3196,5
75,13,4780,5
76,14,1609,5
77,13,2149,5
78,14,2746,5
79,13,1734,5
80,14,14,5
81,15,837,5
82,16,4767,5
83,15,3331,5
84,16,1664,5
85,15,2874,5
86,16,2427,5
87,15,124,5
88,16,3826,5
89,15,350,5
90,16,628,5
91,15,4244,5
92,16,4706,5
93,15,4947,5
94,16,3087,5
95,15,787,5
96,16,3393,5
97,15,851,5
98,16,4213,5
99,15,3699,5
100,16,2520,5
101,17,1457,5
102,18,2733,5
103,17,1238,5
104,18,1877,5
105,17,2470,5
106,18,4992,5
107,17,4664,5
108,18,3478,5
109,17,2692,5
110,18,2173,5
111,17,2128,5
112,18,3098,5
113,17,925,5
114,18,67,5
115,17,4525,5
116,18,2440,5
117,17,4061,5
118,18,447,5
119,17,2515,5
120,18,1804,5
121,19,3491,5
122,20,4413,5
123,19,4712,5
124,20,1226,5
125,19,1570,5
126,20,383,5
127,19,4095,5
128,20,887,5
129,19,3094,5
130,20,1293,5
131,19,4019,5
132,20,4422,5
133,19,2718,5
134,20,2935,5
135,19,3521,5
136,20,5,5
137,19,3476,5
138,20,1924,5
139,19,688,5
140,20,2483,5
141,21,2443,5
142,22,1223,5
143,21,4211,5
144,22,1539,5
145,21,552,5
146,22,1814,5
147,21,428,5
148,22,4322,5
149,21,3024,5
150,22,1147,5
151,21,403,5
152,22,300,5
153,21,542,5
154,22,4505,5
155,21,3663,5
156,22,241,5
157,21,1666,5
158,22,2291,5
159,21,4772,5
160,22,1193,5
161,23,3882,5
162,24,4762,5
163,23,150,5
164,24,2764,5
165,23,4147,5
166,24,4447,5
167,23,818,5
168,24,2112,5
169,23,3418,5
170,24,796,5
171,23,4802,5
172,24,2818,5
173,23,3609,5
174,24,3246,5
175,23,164,5
176,24,2031,5
177,23,3822,5
178,24,4694,5
179,23,4320,5
180,24,4834,5
181,25,251,5
182,26,1728,5
183,25,3401,5
184,26,2234,5
185,25,245,5
186,26,16,5
187,25,454,5
188,26,4065,5
189,25,561,5
